subject_id,calibration_video_id,calibration_start,calibration_end,n_calibration_frames,n_valid_face,ear_base,mar_base,pitch_base,yaw_base,roll_base,calibration_face_detection_rate,split
14,14_0_0,0.0,29.8,150,150,0.2652431191986991,0.004494657264011,-176.279223866005,0.3747029024553399,-1.0253036709574417,1.0,Test
15,15_0_0,0.0,29.8,150,150,0.2380191871891091,0.005126240292541899,-170.98861410622897,3.943821225916423,0.4381321579473081,1.0,Train
16,16_0_0,0.0,29.8,150,150,0.3008625576624795,0.00509888770891735,165.203314019201,9.326409723839333,-2.6370078138522786,1.0,Train
17,17_0_0,0.0,29.8,150,150,0.29788293628961354,0.00985994214574235,-176.90104796292977,3.2677017607393566,-3.7297485142864844,1.0,Train
18,18_0_0,0.0,29.8,150,150,0.22781594855479487,0.0309732618605809,-171.2348371647176,2.3696331077789523,1.5273154185049407,1.0,Test
19,19_0_0,0.0,29.8,150,150,0.25633544413269677,0.0069025400353318,161.8855416446837,3.222640032032814,-4.901315754393522,1.0,Train
20,20_0_0,0.0,29.8,150,150,0.2526059058062134,0.0143693056011448,171.68366816969456,10.74912188737028,-2.6533033800075145,1.0,Train
21,21_0_0,0.0,29.8,150,150,0.25733787998087504,0.0043946836084593,175.65552765244627,-12.184665889717365,-5.136849933574268,1.0,Train
22,22_0_0,0.0,29.8,150,150,0.2535410307127972,0.014859657135892799,168.12916466966743,-0.3751072490819922,1.4147987680301242,1.0,Train
23,23_0_0,0.0,29.8,150,150,0.3508049491050619,0.0148269758437358,169.364114617824,1.431541385987316,-3.8545212384299816,1.0,Train
24,24_0_0,0.0,29.8,150,150,0.23463155586097945,0.0246475077388887,174.0241018141183,2.4418094661155294,-3.076023399223942,1.0,Train
25,25_0_0,0.0,29.8,150,150,0.2722472012494044,0.0099705550770351,-168.93200337573649,9.038748460348359,0.47144683436533796,1.0,Train
26,26_0_0,0.0,29.8,150,150,0.2999155716082259,0.00702716536758635,179.70800297588647,-8.805264120856776,1.2302605281398087,1.0,Validation
27,27_0_0,0.0,29.8,150,150,0.24573222267210304,0.06180037764705835,176.4437005761476,-2.0157923734579413,-0.591614807604941,1.0,Train
28,28_0_0,0.0,29.8,150,150,0.2007268342391012,0.0134655852060519,168.56349637688362,0.10702711840295365,-0.8139920155549873,1.0,Train
29,29_0_0,0.0,29.8,150,150,0.2217506653865456,0.0049924125986258,-174.82828775773024,0.06635488102367049,-1.3616898603887932,1.0,Train
30,30_0_0,0.0,29.8,150,150,0.2403725609029656,0.0064855255394960995,176.1005785540318,6.887525308373142,-0.2386685456011719,1.0,Train
31,31_0_0,0.0,29.8,150,150,0.2727599271126615,0.0262082469460935,164.65185638693038,-14.300423793122889,0.18994511782887002,1.0,Train
32,32_0_0,0.0,29.8,150,150,0.2547264881339162,0.09217806868672125,160.84000789281322,-9.34150751714887,6.18198868298137,1.0,Test
33,33_0_0,0.0,29.8,150,150,0.24425654688572762,0.00425455725988695,-179.1159528094302,1.2286995696357792,-0.9513843667501476,1.0,Train
34,34_0_0,0.0,29.8,150,150,0.23340751923340222,0.0113137147760764,179.34549785494266,3.2499633489960615,-0.10740130051527785,1.0,Train
35,35_0_0,0.0,29.8,150,150,0.2668483827006099,0.017079689887955198,155.20404534465467,8.141929005033973,-3.7964012057349237,1.0,Validation
36,36_0_0,0.0,29.8,150,150,0.22924419322405692,0.00683385401506165,178.57325641730563,-2.706307008616932,-3.825573941152527,1.0,Train
37,37_0_0,0.0,29.8,150,150,0.22954600707597245,0.014106326349677949,-165.50985763608983,-0.17336853136549735,-1.843599947327192,1.0,Validation
38,38_0_0,0.0,29.8,150,150,0.25243728661699516,0.0069370076426086506,179.4380854101534,5.033985103563111,-4.207866683918411,1.0,Train
39,39_0_0,0.0,29.8,150,150,0.23801030145918603,0.00542915763975215,179.27188535233603,3.601636747216702,-2.1709867209545166,1.0,Train
40,40_0_0,0.0,29.8,150,150,0.28429597870661977,0.0019726521179453,-168.45436224932078,-1.956028514446274,1.6177520815427613,1.0,Train
41,41_0_0,0.0,29.8,150,150,0.22705464746252704,0.01490892873054115,171.00616806938547,-0.26419989267836286,3.888570973458343,1.0,Train
43,43_0_0,0.0,29.8,150,150,0.25224353579871317,0.014332121806004,-170.8746743185885,-8.628064036681423,3.926859094407348,1.0,Train
44,44_0_0,0.0,29.8,150,150,0.22370587324087274,0.01979257443290695,-173.41585691380712,-1.8685163799332827,1.2732914173122083,1.0,Train
45,45_0_0,0.0,29.8,150,150,0.30361564096364796,0.007751938010034249,160.90372824238443,4.596786697632325,-2.352148393696467,1.0,Train
46,46_0_0,0.0,29.8,150,150,0.20524709169367444,0.0082432614673835,179.11730872592597,-0.5941157038325287,-0.3244839612867736,1.0,Train
47,47_0_0,0.0,29.8,150,150,0.32706808508529933,0.0084619650941757,174.94954686610993,8.695215272582828,-4.059677907611899,1.0,Validation
48,48_0_0,0.0,29.8,150,150,0.24318869097445414,0.01429563367945915,-175.0699689974804,-8.765052758685272,-4.859718751543937,1.0,Train
49,49_0_0,0.0,29.8,150,150,0.2907331666909434,0.008970939262690651,146.1536789706858,-5.304631506385334,8.283966418365367,1.0,Test
50,50_0_0,0.0,29.8,150,150,0.24531790690627317,0.00852633508418505,-177.96476040492615,-6.24679610975312,2.565276547346002,1.0,Train
51,51_0_0,0.0,29.8,150,150,0.2533321765705331,0.01107832484380345,164.64307516191747,-3.8087457637980435,-0.9979221220381191,1.0,Validation
52,52_0_0,0.0,29.8,150,150,0.23922215124536536,0.0040570816364868,-178.32404146905768,-0.11517517438360869,2.0837582749105366,1.0,Train
53,53_0_0,0.0,29.8,150,150,0.2708190431222607,0.0951756976257026,-179.74972884677112,1.2561932859229046,-1.7764811812273535,1.0,Train
54,54_0_0,0.0,29.8,150,150,0.25931053995747044,0.00534840209972675,-173.34462949397343,0.10753843064821922,1.0492017268460927,1.0,Train
55,55_0_0,0.0,29.8,150,150,0.2713902792434463,0.00534724901376735,-176.96228972859484,-3.1179991969519563,-1.2298853696158574,1.0,Test
56,56_0_0,0.0,29.8,150,150,0.2427830822128297,0.0049095789714311,-166.50393470998006,-0.7666905651551303,-0.7467641482600413,1.0,Train
57,57_0_0,0.0,29.8,150,150,0.2718380263549246,0.0038798365131538,165.5885171182366,-10.293931959448884,5.887996796944606,1.0,Train
58,58_0_0,0.0,29.8,150,150,0.2530110871088828,0.008843170604661499,167.95063383474962,-14.053547477455567,-2.5115063050272397,1.0,Train
59,59_0_0,0.0,29.8,150,150,0.3047088742827681,0.00473270644452355,-170.0547266030243,2.1333411280098176,-0.1736024160124714,1.0,Validation
60,60_0_0,0.0,29.8,150,150,0.19303763663309678,0.005602430150342549,176.92606288253398,1.5328657686002884,0.13427157492870379,1.0,Train
